#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-07-04T19:37:03 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-07-04T19:37:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=Plx&-out=e_Plx&-out=B-V&-out=Notes&-out=SpType&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
_RAJ2000	_DEJ2000	HIP	RAhms	DEdms	Vmag	Plx	e_Plx	B-V	Notes	SpType
000.0961079642	+42.1414741742	    30	00 00 23.07	+42 08 29.4	 8.26	   3.79	  0.88	 0.142	 	A0
000.0980820259	+02.6754771939	    31	00 00 23.54	+02 40 31.7	 7.63	   1.84	  1.05	 1.453	 	K2
000.0985822124	+51.9394871458	    32	00 00 23.66	+51 56 22.2	 9.09	   3.10	  1.29	 0.040	 	B8
000.0991718826	-10.4623846687	    33	00 00 23.80	-10 27 44.8	 8.10	   8.94	  1.09	 0.466	 	F2
000.0995847627	+26.9181082481	    34	00 00 23.87	+26 55 05.7	 6.43	  12.71	  0.74	 0.514	 	F7.5IV-V
000.1029678346	-14.4904842926	    35	00 00 24.61	-14 29 25.7	 9.07	   5.96	  1.45	 0.916	 	G8/K0III/IV
000.1033991460	+12.2671277140	    36	00 00 24.79	+12 16 01.5	 7.68	   6.30	  0.96	 1.150	 	K0
000.1053271547	-47.1795667332	    37	00 00 25.28	-47 10 46.5	10.44	   3.74	  2.72	 0.391	 	F0V
000.1131259150	-79.0619829896	    38	00 00 26.65	-79 03 42.6	 8.65	  23.84	  0.78	 0.778	 	G6V
000.1122921521	-16.6970092898	    39	00 00 26.85	-16 41 48.9	 7.46	  10.98	  1.18	 0.475	 	F3V
000.1165709244	+54.3022365976	    41	00 00 27.98	+54 18 08.1	 8.70	   3.42	  1.04	 0.026	 	A0
000.1219509432	+67.2167835208	    40	00 00 29.27	+67 13 00.4	10.61	  -3.40	  4.25	 0.570	 	B...
000.1254425641	+25.8447647671	    42	00 00 30.09	+25 50 41.2	 8.20	   6.38	  0.91	 0.387	 	F2
000.1287023299	+59.5596793560	    43	00 00 30.98	+59 33 35.1	 6.18	   7.63	  0.60	 1.032	 	G9III-IV
000.1327493241	-03.3063227539	    44	00 00 31.85	-03 18 22.9	 7.91	   2.41	  1.01	 1.104	 	K2
000.1339087125	-72.2027170667	    45	00 00 32.21	-72 12 09.8	 9.59	  15.10	  1.92	      	 	G6/G8V:
000.1345851827	-25.6222853151	    46	00 00 32.29	-25 37 20.1	 8.57	   1.19	  1.20	 1.035	 	K1III
000.1349959315	-56.8356023479	    47	00 00 32.45	-56 50 06.9	10.78	  24.45	  1.97	 1.150	 	K3V
000.1352357185	-40.6904740567	    48	00 00 32.45	-40 41 25.6	 7.31	   1.86	  0.87	 1.164	 	K0/K1III
000.1395683011	+16.6690487224	    49	00 00 33.48	+16 40 08.5	 9.53	   1.59	  1.28	 0.450	 	F5
000.1430850464	-53.0977126448	    50	00 00 34.29	-53 05 51.6	 6.49	  16.89	  0.80	 0.616	 	G1IV
000.1434152117	+01.0662126454	    51	00 00 34.41	+01 03 58.3	 8.94	   0.41	  1.30	 0.906	 	K0
000.1468910146	-77.0201164131	    52	00 00 35.20	-77 01 12.5	 8.56	   3.95	  0.77	 0.196	 	A4V
000.1474234962	-29.2634139700	    53	00 00 35.37	-29 15 48.2	10.96	  -1.76	  2.45	      	 	
000.1525936914	+17.9689084162	    54	00 00 36.40	+17 58 08.2	10.57	  20.97	  1.71	 1.030	 	M:
000.1588334161	-66.6831734054	    55	00 00 37.88	-66 40 59.2	 7.40	  14.66	  0.98	 0.551	 	G2IV/V
000.1629265910	+00.2229314796	    56	00 00 39.08	+00 13 22.6	 8.12	   3.47	  1.27	 1.329	 	K0
000.1679988682	-69.6759649610	    57	00 00 40.39	-69 40 32.9	 8.27	  33.89	  0.79	 0.863	 	K2V
000.1735189270	+62.1758981384	    58	00 00 41.70	+62 10 33.6	 7.05	  26.06	  0.67	 0.520	 	G0
000.1744463248	+55.7224601908	    59	00 00 41.87	+55 43 20.9	 9.09	  -0.06	  1.38	 0.091	 	B5
000.1754330477	-64.4657990558	    60	00 00 42.10	-64 27 57.0	 8.34	   6.18	  0.83	 0.386	 	F2IV
000.1762918211	+53.8221456596	    61	00 00 42.28	+53 49 19.9	 8.86	   5.60	  1.11	 1.081	 	K5
000.1799751511	-45.4227389281	    62	00 00 43.19	-45 25 21.8	 8.27	   5.28	  1.15	 0.994	 	G8III
000.1818095066	+45.2533335847	    63	00 00 43.62	+45 15 12.0	 6.36	   4.81	  0.71	-0.047	P	B9p SiEu
000.1845726200	-27.9075816018	    64	00 00 44.30	-27 54 27.2	 8.08	   3.45	  0.94	 1.156	 	K2III
000.1871096831	-54.8305236850	    65	00 00 45.11	-54 49 49.2	11.00	  16.98	  2.43	 1.147	 	
000.1884242533	-72.3182202550	    66	00 00 45.25	-72 19 05.7	 8.55	   8.18	  0.88	 0.401	 	F2V
000.1993427070	+23.5382187125	    67	00 00 47.78	+23 32 17.7	 7.83	   7.48	  0.93	 0.495	 	F5
000.2003829227	+16.9881971773	    68	00 00 48.15	+16 59 20.3	 8.79	  31.80	  1.17	 0.940	 	K0
000.2014181885	+30.3958896703	    69	00 00 48.33	+30 23 45.2	 8.33	   6.35	  1.12	 0.135	 	A0
000.2026581845	+36.7776373110	    70	00 00 48.67	+36 46 39.5	10.42	   5.25	 13.87	 0.706	 	
000.2070254615	+36.7801059571	    71	00 00 49.70	+36 46 48.6	 8.26	   9.13	  1.84	 0.846	 	G5
000.2199319023	-12.8289609656	    72	00 00 52.67	-12 49 43.2	 8.97	  10.63	  1.25	 0.671	 	G3/G5V
000.2203287297	+66.8480110818	    73	00 00 52.91	+66 50 52.7	 6.90	   3.97	  0.69	 1.446	 	K2
000.2223452058	+35.7526241534	    74	00 00 53.25	+35 45 09.8	 9.93	  24.22	  1.36	 1.068	 	K5
000.2232728863	-50.4464587777	    75	00 00 53.56	-50 26 47.3	 7.42	   1.60	  0.79	 1.524	 	K4III
000.2282138630	+32.8256539818	    76	00 00 54.77	+32 49 32.4	 9.03	   2.29	  1.19	 1.670	 	M0
000.2305745718	-30.0641664515	    77	00 00 55.33	-30 03 51.0	 8.41	   3.53	  1.12	 0.022	 	A0V
000.2323117676	+17.8678508744	    78	00 00 55.76	+17 52 04.2	 8.06	   1.17	  0.96	 1.203	 	K0
000.2357718602	+35.3167202940	    79	00 00 56.57	+35 19 00.3	 8.69	   4.57	  0.99	 0.529	 	F5
000.2428327384	-11.8237385410	    80	00 00 58.03	-11 49 24.7	 8.40	  15.59	  1.43	 0.566	 	G2V
000.2434138377	-04.9325343939	    81	00 00 58.53	-04 55 55.6	 8.57	  23.43	  1.28	 0.642	 	G5
000.2480168522	-10.9359635319	    82	00 00 59.53	-10 56 08.9	 9.50	   1.82	  1.37	 1.107	 	G5
000.2480726945	+52.0805620337	    83	00 00 59.54	+52 04 50.0	 8.85	   2.28	  1.30	 1.726	 	M0
000.2524274552	+27.8863304078	    84	00 01 00.43	+27 53 10.8	 9.61	  18.90	  1.33	 0.852	 	K0
000.2561370144	-24.7140478290	    85	00 01 01.44	-24 42 50.6	10.62	   3.90	  2.06	 0.359	 	A2
000.2604630307	+69.6035047896	    86	00 01 02.49	+69 36 12.6	 8.05	   3.47	  0.78	 0.018	 	B9
000.2614964296	-05.8350022074	    87	00 01 02.76	-05 50 05.9	 7.80	   4.52	  1.08	 0.430	 	F5
000.2690934424	-48.8098755962	    88	00 01 04.60	-48 48 35.5	 5.71	   5.97	  0.70	 0.911	 	G8III
000.2771545370	+53.1669426029	    89	00 01 06.52	+53 10 01.0	 7.87	   2.60	  0.96	 1.566	 	K2
000.2800818283	-41.8875439075	    90	00 01 07.20	-41 53 14.7	 7.64	   9.35	  0.92	 0.500	 	F5IV/V
000.2805308174	-05.8743477321	    91	00 01 07.34	-05 52 27.6	 7.66	   4.21	  1.23	 1.300	 	K0
000.2906966016	-20.7055496571	    92	00 01 09.75	-20 42 20.1	 8.68	   4.77	  1.44	 0.944	 	G8III
000.2923560848	-00.0760984511	    93	00 01 10.13	-00 04 33.3	 8.12	  16.74	  1.28	 0.619	 	F8V
000.2949984531	-32.7568365337	    94	00 01 10.76	-32 45 24.5	10.10	  10.48	  1.48	 0.644	 	G2
000.3020141338	-11.9640335701	    95	00 01 12.49	-11 57 50.4	 8.67	   7.85	  1.17	 0.513	 	F5V
000.3049451416	+13.9750881003	    96	00 01 13.17	+13 58 29.1	10.46	  19.83	  5.16	 1.360	P	M0
000.3071697082	-52.7985754081	    98	00 01 13.72	-52 47 54.9	 9.87	   6.49	  1.44	 0.551	 	F6/F7V
000.3073814986	-21.4040423290	    97	00 01 13.76	-21 24 14.6	 9.48	   5.52	  1.74	 0.530	 	F5V
000.3160632268	+60.3552822057	    99	00 01 15.84	+60 21 19.1	 7.04	   1.27	  0.70	 2.835	 	C5p
000.3163760569	+19.7412432230	   100	00 01 15.95	+19 44 28.7	 8.44	   4.49	  1.08	 0.898	 	G0
000.3197097992	-47.7938314469	   101	00 01 16.74	-47 47 37.8	 9.88	   7.35	  1.74	 0.509	 	F5IV/V
000.3204875805	-41.4874373910	   102	00 01 16.90	-41 29 14.5	 7.05	   3.00	  0.82	 1.550	 	M1III
000.3220750212	-68.3711274828	   103	00 01 17.31	-68 22 15.7	 8.29	   9.15	  0.76	 0.538	 	F6V
000.3266243146	-31.8996185345	   104	00 01 18.42	-31 53 58.6	 9.34	   8.16	  1.21	 0.543	 	F7V
000.3278079299	+70.9289378451	   105	00 01 18.68	+70 55 44.2	 7.73	   4.44	  0.75	 0.455	 	F0
000.3302148739	+49.9815578121	   106	00 01 19.24	+49 58 53.7	 6.22	   4.50	  0.73	 0.970	 	G7II-III
000.3338302112	-50.3373733304	   107	00 01 20.11	-50 20 14.6	 5.53	   5.84	  0.61	 1.615	 	M2III
000.3366443853	-70.1252718836	   108	00 01 20.77	-70 07 31.1	 8.53	   0.30	  0.86	 1.315	 	K3II/III
000.3465944710	+06.7914698742	   109	00 01 23.18	+06 47 29.4	 7.23	   5.33	  0.94	 0.388	 	F0
000.3486137639	+39.6107174008	   110	00 01 23.69	+39 36 38.9	 8.61	  20.42	  1.91	 0.787	 	G5
000.3498468084	+34.2818482225	   111	00 01 23.78	+34 16 54.7	11.28	  27.11	  2.33	 1.308	 	M2
000.3576763387	-16.9484460918	   112	00 01 25.66	-16 56 52.2	10.76	  31.35	  4.17	 1.384	 	M1.5V:
000.3656196554	+49.0104060218	   113	00 01 27.75	+49 00 37.5	 8.93	   0.27	  1.09	 0.021	 	A0
000.3716470206	+30.7357853733	   114	00 01 29.20	+30 44 09.2	 7.95	   9.93	  1.95	 0.654	 	G0IV
000.3725848359	-62.9231304264	   115	00 01 29.42	-62 55 23.4	 7.46	   4.73	  0.67	 0.160	 	A2IV
000.3753231890	-33.7927710115	   116	00 01 30.09	-33 47 33.7	 8.60	   8.29	  0.97	 0.435	 	F3V
000.3805565631	-72.6058993480	   117	00 01 31.30	-72 36 21.3	 8.55	   0.36	  0.87	 1.093	 	G8III
000.3865951357	-09.4300332791	   118	00 01 32.76	-09 25 48.1	 9.20	  12.08	  1.33	 0.606	 	G0
000.3901660249	+44.6754011607	   119	00 01 33.65	+44 40 31.6	 6.82	   7.49	  0.83	 1.071	 	K0
000.3959208190	-45.3447587783	   120	00 01 35.04	-45 20 40.9	 8.29	   2.83	  1.09	 1.183	 	K1IIICNIV
000.3964246310	+28.4236912780	   121	00 01 35.15	+28 25 25.6	 6.83	   3.66	  0.83	 1.197	 	K2III
000.3987655417	-77.0657244661	   122	00 01 35.85	-77 03 55.1	 4.78	  14.77	  0.47	 1.254	 	K2III
000.3998847465	+72.2366152800	   123	00 01 36.06	+72 14 11.8	 7.21	   5.07	  0.70	 1.169	 	K0
000.4042312331	+61.2228008031	   124	00 01 37.02	+61 13 22.1	 5.58	   0.86	  0.56	 0.407	 	F0III
000.4046701503	-39.3367482915	   125	00 01 37.14	-39 20 12.0	 8.70	   5.08	  1.06	 0.366	 	F2V
000.4088267282	+14.6323240212	   126	00 01 38.10	+14 37 56.3	 8.06	   2.94	  0.95	 0.969	 	G5
000.4122461121	-48.9356192663	   127	00 01 38.90	-48 56 06.6	10.86	  11.27	  2.15	 0.942	 	
000.4144154784	+73.6118465973	   128	00 01 39.30	+73 36 42.8	 6.50	  15.20	  0.63	 0.182	 	Am...
000.4156153520	+05.3728082325	   129	00 01 39.74	+05 22 21.9	 9.32	   6.60	  1.30	 0.559	 	F8
000.4182981835	-30.6925368129	   130	00 01 40.38	-30 41 33.0	 9.14	   2.93	  1.38	 1.080	 	K0III
000.4198682772	+62.0180873926	   131	00 01 40.79	+62 01 05.3	 8.13	   8.11	  0.83	 0.200	 	A4V
000.4220210563	-34.6535452176	   132	00 01 41.28	-34 39 12.6	10.62	   1.89	  1.91	 0.358	 	F0
000.4234760593	-40.1487020394	   133	00 01 41.61	-40 08 55.2	 6.62	   3.51	  0.79	 0.545	 	F5IV
000.4251968285	-01.1399597985	   134	00 01 42.03	-01 08 23.9	 9.96	   1.30	  1.71	 0.264	 	A0
000.4267963058	-00.2177767478	   135	00 01 42.42	-00 13 03.0	 8.64	  20.10	  1.22	 0.620	 	G5
000.4286915781	+24.2531127201	   136	00 01 42.87	+24 15 11.5	 6.60	   5.84	  0.78	 1.153	 	K2III-IV
000.4327060603	+42.3671439079	   137	00 01 43.85	+42 22 01.7	 6.25	   2.45	  0.69	-0.042	 	B9IIIp Mn
000.4374442822	-16.5316612038	   138	00 01 44.93	-16 31 54.2	 7.83	   6.34	  1.89	 1.074	 	K0/K1IV
000.4452695284	+67.5069751306	   139	00 01 46.87	+67 30 25.1	10.03	   1.62	  1.45	 1.289	 	B0
000.4533324898	-68.1048974606	   140	00 01 48.64	-68 06 17.3	 9.04	   8.98	  0.93	 0.546	 	F7V
000.4534943201	+36.3503582146	   141	00 01 48.82	+36 21 01.2	 8.47	   5.61	  1.10	 1.350	 	K5
000.4537773294	+66.3060319601	   142	00 01 48.90	+66 18 21.6	 7.33	  16.04	  0.69	 0.730	 	K0
000.4552783861	+76.1755975016	   144	00 01 49.22	+76 10 32.2	 8.66	   3.57	  0.75	 1.364	 	K5
000.4556468962	+21.4625025445	   143	00 01 49.24	+21 27 43.7	10.35	  20.05	  1.64	 1.033	 	K3
000.4560351217	-03.0275038232	   145	00 01 49.44	-03 01 38.9	 5.13	   7.98	  0.71	-0.128	 	B7III-IV
000.4558388817	-25.7985258505	   146	00 01 49.49	-25 47 51.7	 8.96	   4.39	  1.29	 0.306	 	A9V
000.4660599186	+21.0262362756	   147	00 01 51.85	+21 01 34.5	 8.49	  -0.13	  1.19	 1.569	 	K5
000.4778476400	+26.0040493361	   149	00 01 54.88	+26 00 20.1	11.26	  22.92	  2.17	 0.932	 	K3
000.4788210597	+15.5285415393	   148	00 01 54.91	+15 31 42.7	 8.15	   4.22	  0.96	 0.584	 	F8
000.4803049035	-37.2299527373	   150	00 01 55.29	-37 13 47.4	 7.04	   7.50	  0.84	 1.060	 	K1III
000.4844189489	-28.1309480654	   152	00 01 56.27	-28 07 51.4	10.02	   5.10	  1.42	 0.456	 	F5
000.4845113600	+12.6548880039	   153	00 01 56.29	+12 39 17.8	 8.90	   5.54	  1.23	 0.459	 	F8
000.4848741427	-41.6137744619	   151	00 01 56.30	-41 36 49.5	 7.78	   7.56	  1.37	 0.411	 	F3IV...
000.4900789996	-06.0140721205	   154	00 01 57.59	-06 00 50.3	 4.37	   7.86	  0.94	 1.631	 	M3III
000.4911922787	+46.2691557500	   155	00 01 57.87	+46 16 09.0	 9.93	   2.28	  1.39	 0.283	 	A2
000.4969301511	+63.3578262583	   156	00 01 59.25	+63 21 28.2	 8.60	   3.09	  0.84	 0.100	 	B8V
000.5004239150	-05.2139254314	   157	00 02 00.08	-05 12 50.4	 8.51	   6.87	  1.28	 0.903	 	G5
000.5008459972	-37.9018778865	   158	00 02 00.11	-37 54 06.4	 7.09	   7.03	  0.89	 0.999	 	K0III
000.5109068553	-02.7661707649	   159	00 02 02.59	-02 45 58.2	 6.93	  16.92	  0.81	 0.292	 	A3
000.5118149003	-69.2691982711	   160	00 02 02.81	-69 16 09.1	 8.68	   2.07	  0.80	-0.052	 	B9V
000.5124124896	+33.6959579461	   161	00 02 03.00	+33 41 45.6	 8.98	   2.38	  1.09	 1.500	 	K5
000.5133541766	+27.1186026592	   162	00 02 03.21	+27 07 07.0	 9.84	   2.71	  1.33	 0.696	 	G0
000.5171900180	-30.6852281661	   163	00 02 04.11	-30 41 06.8	 8.98	   2.92	  1.26	 0.107	 	A3V
000.5191360406	+59.9401016991	   164	00 02 04.46	+59 56 24.0	 7.98	   4.41	  0.82	 0.970	 	G9III
000.5197325433	-22.3274865187	   165	00 02 04.74	-22 19 38.9	10.16	  -0.59	  1.74	 0.450	 	Ap...
000.5213171302	-56.5149308580	   166	00 02 05.17	-56 30 53.6	 8.86	   9.46	  1.18	 0.660	 	G3V
000.5278262049	+39.1832029785	   167	00 02 06.67	+39 10 59.6	 8.58	   3.50	  0.90	 0.060	 	B9
000.5334286925	-02.8200722453	   168	00 02 08.05	-02 49 11.4	 9.56	   1.95	  1.34	 1.113	 	R...
000.5363834676	-68.2807693372	   169	00 02 08.41	-68 16 48.7	 9.24	  63.03	  1.98	 1.390	 	M0V
000.5376004112	-20.8716623665	   170	00 02 09.04	-20 52 17.9	 9.63	   5.96	  2.02	 0.509	 	F5V
000.5423132141	+27.0822560340	   171	00 02 09.65	+27 05 04.2	 5.80	  80.63	  3.03	 0.690	 	G3V
000.5428714457	+67.4089524782	   172	00 02 10.29	+67 24 32.2	 9.05	   1.27	  1.11	 0.976	 	O7
000.5495685329	+47.5772057408	   173	00 02 11.90	+47 34 38.0	 8.45	   1.31	  1.03	 0.248	 	A2
000.5516405359	+59.9653380069	   174	00 02 12.38	+59 57 55.2	 8.86	   3.89	  1.83	 1.035	 	G9II-III
000.5524079057	+49.7710861297	   175	00 02 12.58	+49 46 16.1	 7.84	   3.98	  0.87	 0.923	 	G5
000.5533988111	+44.4282621505	   176	00 02 12.80	+44 25 41.8	 8.86	   3.82	  1.07	 0.530	 	K0
000.5602276627	-11.9643520068	   177	00 02 14.45	-11 57 51.6	 8.93	   5.47	  1.25	 0.172	 	A1m...
000.5680682788	-27.1351529377	   178	00 02 16.27	-27 08 06.6	 7.97	   9.02	  2.50	 0.556	 	F7V
000.5695149635	-13.4074374454	   179	00 02 16.53	-13 24 27.1	 6.90	  14.91	  0.90	 0.534	 	G0V
000.5709120105	-09.1749278711	   180	00 02 17.02	-09 10 29.6	 8.47	   2.80	  1.12	 1.171	 	K0
000.5737724134	+60.7031677424	   181	00 02 17.72	+60 42 11.5	 6.77	   2.51	  0.64	 1.832	P	M0
